incident_id,description,root_cause,resolution,category,severity
101,CPU usage high in app server,Thread leak,Restart service & patch,Infrastructure,High
102,DB timeout issue,DB overload,Increase pool & optimize query,Database,Critical
103,Disk full alert,Log rotation failure,Clear logs & enable rotation,Storage,Medium
104,App crash during login,Null pointer bug,Fix code & redeploy,Application,Critical
105,Slow response time,High memory usage,Restart app & scale memory,Performance,High
106,API rate limiting errors,Traffic spike,Implement rate limiting & scale,API,High
107,Database connection pool exhausted,Unoptimized queries,Add connection limit & optimize,Database,Critical
108,Microservice communication timeout,Network latency,Add retry logic & increase timeout,Network,High
109,Memory leak in background worker,Resource not released,Review & fix resource cleanup,Application,High
110,SSL certificate expired,Certificate not renewed,Renew certificate & automate renewal,Security,Critical
111,Load balancer health check failure,Service unresponsive,Restart service & fix health check endpoint,Infrastructure,High
112,Database replication lag,High transaction volume,Optimize queries & scale slaves,Database,High
113,Authentication service unavailable,Service crash,Restart service & review logs,Security,Critical
114,Cache miss rate spike,Cache invalidation bug,Deploy cache fix & warm cache,Performance,Medium
115,File storage quota exceeded,Insufficient cleanup,Archive old files & increase quota,Storage,High
116,API endpoint returning 500 errors,Unhandled exception,Debug & deploy fix,API,High
117,Elastic search cluster node down,Hardware failure,Replace node & rebalance shards,Infrastructure,High
118,Message queue backlog building up,Consumer lag,Scale consumers & optimize processing,Performance,High
119,Batch job timeout exceeded,Long running query,Optimize query & increase timeout,Application,Medium
120,CORS policy violation on frontend,Missing CORS headers,Add proper CORS headers to API,API,Medium
121,Session store persistence failure,Storage backend down,Restart Redis & verify connectivity,Infrastructure,Critical
122,Report generation taking too long,Inefficient aggregation,Optimize report query & add caching,Performance,Medium
123,Webhook delivery failures,Network connectivity issue,Implement retry mechanism with backoff,Integration,High
124,Docker container OOMKilled,Memory limit exceeded,Increase memory limit & optimize app,Infrastructure,High
125,CDN cache invalidation stuck,API throttling,Batch invalidation requests & queue,Performance,Medium
126,Duplicate records in database,Unique constraint missing,Add constraint & cleanup duplicates,Database,High
127,Email notifications not sending,SMTP connection issue,Restart mail server & check credentials,Integration,High
128,PDF export feature broken,Font resource missing,Install font & update export library,Application,Medium
129,Search index out of sync,Indexing job failed,Rebuild index & fix job scheduler,Performance,High
130,Monitor alert spam,Threshold misconfigured,Adjust thresholds & tune alerts,Operations,Low
131,Database lock timeout,Long-running transaction,Optimize transaction & add indexes,Database,High
132,Kubernetes pod eviction,Resource contention,Scale cluster & adjust resource limits,Infrastructure,High
133,OAuth token validation failure,Key rotation incomplete,Update keys & restart auth service,Security,Critical
134,WebSocket connection drops,Load balancer timeout,Configure sticky sessions & increase timeout,Network,High
135,Metrics collection gap,Agent disconnect,Restart monitoring agent & check network,Operations,Medium
136,Request payload too large,Client sending oversized data,Implement payload size limits & validation,API,Medium
137,Database backup failed,Storage full,Clean storage & restart backup job,Operations,Critical
138,Scheduled job not executing,Cron job disabled,Enable cron job & verify scheduling,Application,Medium
139,DNS resolution timeout,DNS server overload,Implement DNS caching & failover,Network,High
140,Configuration drift detected,Manual changes made,Sync configuration & enforce IaC,Operations,Medium
141,Data export feature stuck,Memory exhaustion on export,Implement pagination & streaming,Performance,High
142,Dependency version conflict,Incompatible library versions,Resolve version conflicts & update,Application,Medium
143,Logging system overwhelmed,Excessive log volume,Implement log filtering & rotation,Operations,High
144,Mobile app API compatibility,Deprecated endpoint usage,Update app & maintain compatibility layer,API,High
145,Firewall rule blocking traffic,Incorrect firewall policy,Update firewall rules & whitelist IPs,Network,High
146,Database query plan degradation,Statistics stale,Update table statistics & re-analyze,Database,High
147,Feature flag malfunction,Flag inverted logic,Fix flag definition & redeploy,Application,Medium
